aluminaRefl,aluminaRefl_wl
0.78385627,194.40541
0.7864604,197.55225
0.7929709,200.69911
0.79427302,203.84595
0.79817927,206.9928
0.80208552,210.13965
0.80599177,213.2865
0.81250215,216.43335
0.81510633,219.5802
0.82031465,222.72705
0.82291883,225.8739
0.82682508,229.02075
0.83203346,232.1676
0.83463758,235.31444
0.83984596,238.4613
0.84245008,241.60814
0.84505427,244.755
0.84896052,247.90186
0.85286683,251.04872
0.85547096,254.19554
0.85807508,257.34241
0.86328346,260.48926
0.86588758,263.63611
0.86849183,266.78293
0.87109596,269.92981
0.8737002,273.07666
0.87630433,276.22351
0.88021058,279.37033
0.88281471,282.51718
0.88411683,285.66406
0.88541895,288.81091
0.88802308,291.95773
0.88802308,295.10458
0.8893252,298.25146
0.8893252,301.39832
0.89062721,304.54517
0.89192933,307.69199
0.89453351,310.83884
0.89453351,313.98572
0.89453351,317.13257
0.89583558,320.27939
0.89583558,323.42624
0.89583558,326.57309
0.89583558,329.71997
0.89583558,332.86679
0.89583558,336.01364
0.8971377,339.16049
0.8971377,342.30737
0.8971377,345.45419
0.8971377,348.60104
0.89843976,351.74789
0.89843976,354.89474
0.89843976,358.04163
0.89843976,361.18845
0.89843976,364.3353
0.89843976,367.48215
0.89843976,370.629
0.89843976,373.77585
0.89974183,376.9227
0.89843976,380.06955
0.89843976,383.2164
0.89843976,386.36325
0.89843976,389.5101
0.89974183,392.65695
0.90104395,395.8038
0.90104395,398.95062
0.90104395,402.0975
0.90104395,405.24435
0.90234601,408.3912
0.90234601,411.53806
0.90234601,414.68491
0.90364808,417.83176
0.90625226,420.97861
0.90885645,424.12546
0.90885645,427.27228
0.91146064,430.41916
0.91146064,433.56601
0.9127627,436.71286
0.91406476,439.85968
0.91406476,443.00653
0.91536689,446.15341
0.91536689,449.30026
0.91666895,452.44708
0.91666895,455.59393
0.91666895,458.74081
0.91797101,461.88766
0.91797101,465.03452
0.91797101,468.18134
0.91927314,471.32819
0.91797101,474.47507
0.91797101,477.62192
