chroma760abs_wl,chroma760abs
481,0.176323
483,0.225648
485,0.29716
487,0.426006
489,0.566211
491,0.651072
493,0.725756
495,0.756884
497,0.773124
499,0.787384
501,0.794249
503,0.7903
505,0.79633
507,0.789238
509,0.787933
511,0.78678
513,0.765987
515,0.751693
517,0.700926
519,0.592995
521,0.491415
523,0.431919
525,0.415033
527,0.444959
529,0.464154
531,0.436886
533,0.432594
535,0.485832
537,0.547359
539,0.620705
541,0.621226
543,0.583296
545,0.58946
547,0.654554
549,0.687016
551,0.638319
553,0.56043
555,0.551959
557,0.581851
559,0.615457
561,0.676099
563,0.742437
565,0.788836
567,0.81207
569,0.81079
571,0.807316
573,0.818182
575,0.820104
577,0.827722
579,0.820782
581,0.821875
583,0.824967
585,0.831076
587,0.830053
589,0.821473
591,0.821987
593,0.825362
595,0.8264
597,0.826129
599,0.820879
601,0.829217
603,0.828998
605,0.828241
607,0.832478
609,0.829839
611,0.837326
613,0.831715
615,0.833929
617,0.833004
619,0.832406
621,0.839191
623,0.836054
625,0.84143
627,0.839166
629,0.839349
631,0.840998
633,0.837273
635,0.834899
637,0.841185
639,0.847046
641,0.845539
643,0.844956
645,0.847414
647,0.846817
649,0.841745
651,0.847812
653,0.853121
655,0.845134
657,0.851169
659,0.850751
661,0.851522
663,0.847778
665,0.853138
667,0.856473
669,0.848917
671,0.853527
673,0.860187
675,0.859906
677,0.859492
679,0.85913
681,0.861157
683,0.853482
685,0.850945
687,0.858886
689,0.860175
691,0.854358
693,0.86461
695,0.864657
697,0.853484
699,0.862446
701,0.8557
703,0.847535
705,0.84911
707,0.855761
709,0.862486
711,0.863243
713,0.869648
715,0.870358
717,0.869396
719,0.871878
721,0.869048
723,0.869463
725,0.865508
727,0.8664
729,0.864375
731,0.859526
733,0.857517
735,0.852064
737,0.850575
739,0.846867
