qe_ingaas_m25,qe_ingaas_m25_wl,qe_ingaas_m90,qe_ingaas_m90_wl,qe_ingaas_p25,qe_ingaas_p25_wl
0.10731807,603.3808,0.12439122,603.3808,0.11829367,610.14136
0.1097571,605.07092,0.12439122,605.07092,0.11829367,611.83148
0.1097571,606.76111,0.12439122,606.76111,0.11951318,613.52161
0.1097571,608.45123,0.12439122,608.45123,0.11951318,615.21179
0.11219612,610.14136,0.12439122,610.14136,0.11951318,616.90192
0.11219612,611.83148,0.12439122,611.83148,,618.5921
0.11463514,613.52161,0.12561074,613.52161,0.11463513,620.28217
0.11463514,615.21179,0.12683025,615.21179,0.11463514,621.97235
0.11707415,616.90192,0.13048877,616.90192,0.11463514,623.66248
0.11707415,618.5921,0.12804975,618.5921,0.11463514,625.3526
0.11707415,620.28217,0.13658632,620.28217,0.11463514,627.04279
0.11951318,621.97235,0.13658632,621.97235,0.11707415,628.73291
0.11951318,623.66248,0.13658632,623.66248,0.11707415,630.4231
0.11951318,625.3526,0.13658632,625.3526,0.11585465,632.11316
0.11951318,627.04279,0.13658632,627.04279,0.11585465,633.80328
,628.73291,0.13658632,628.73291,0.11707415,635.49347
,630.4231,,630.4231,0.11707415,637.18359
0.1219522,632.11316,0.1341473,632.11316,0.11463514,638.87378
0.1219522,633.80328,0.1341473,633.80328,0.11463514,640.5639
0.12073269,635.49347,0.1341473,635.49347,0.11463514,642.25397
0.12804975,637.18359,0.1341473,637.18359,0.11463514,643.94415
0.12683025,638.87378,0.1341473,638.87378,0.11585465,645.63428
0.12926926,640.5639,0.13658632,640.5639,0.11707415,647.32446
0.12926926,642.25397,0.13658632,642.25397,0.11707415,649.01459
0.13170828,643.94415,0.13780583,643.94415,0.11707415,650.70471
0.13170828,645.63428,,645.63428,0.11707415,652.39484
,647.32446,0.13902535,647.32446,0.11829367,654.08496
,649.01459,0.14146435,649.01459,0.11951318,655.77515
0.1341473,650.70471,0.14146435,650.70471,0.11951318,657.46527
0.1341473,652.39484,0.14390337,652.39484,0.12073269,659.15546
0.1341473,654.08496,0.14390337,654.08496,0.1219522,660.84558
0.1341473,655.77515,,655.77515,0.1219522,662.53571
0.1341473,657.46527,0.14756191,657.46527,0.12317171,664.22583
0.1341473,659.15546,0.1463424,659.15546,0.12439122,665.91595
0.1341473,660.84558,0.14878142,660.84558,0.12561074,667.60614
0.1341473,662.53571,0.14878142,662.53571,0.12683025,669.29626
0.1341473,664.22583,0.15122044,664.22583,0.12926926,670.98639
0.1341473,665.91595,0.15000093,665.91595,0.13048877,672.67657
0.14024484,667.60614,,667.60614,0.13170828,674.36664
0.14268386,669.29626,0.15243995,669.29626,0.1341473,676.05682
0.14268386,670.98639,0.15365946,670.98639,0.1341473,677.74695
0.14390337,672.67657,0.15609848,672.67657,0.13536681,679.43707
0.1463424,674.36664,0.15609848,674.36664,0.13658632,681.12726
0.1463424,676.05682,0.157318,676.05682,0.13658632,682.81738
0.1463424,677.74695,0.15609848,677.74695,0.13658632,684.50757
0.14268386,679.43707,0.15853751,679.43707,0.13780583,686.19763
0.14390337,681.12726,0.15975702,681.12726,0.13902533,687.88782
0.14268386,682.81738,0.15975702,682.81738,0.13902533,689.57794
0.14268386,684.50757,0.15975702,684.50757,0.13902533,691.26807
0.14390337,686.19763,0.15975702,686.19763,0.13902533,692.95825
0.14512289,687.88782,0.16097653,687.88782,0.13902533,694.64838
0.1463424,689.57794,0.16097653,689.57794,0.13902533,696.3385
0.14756191,691.26807,0.16097653,691.26807,0.14146435,698.02863
,692.95825,0.16219603,692.95825,0.14146435,699.71875
0.14878142,694.64838,0.16585457,694.64838,0.14390337,701.40894
0.14878142,696.3385,0.16829357,696.3385,0.14390337,703.09906
0.15122044,698.02863,0.17073259,698.02863,0.14878142,704.78925
0.15122044,699.71875,0.17195211,699.71875,0.14878142,706.47931
0.15365946,701.40894,0.17195211,701.40894,0.15000093,708.16943
0.15243995,703.09906,0.17317161,703.09906,0.15122044,709.85962
,704.78925,0.17317161,704.78925,0.15122044,711.54974
0.157318,706.47931,0.17683016,706.47931,0.15243995,713.23993
0.15609848,708.16943,,708.16943,0.15243995,714.93005
0.15853751,709.85962,,709.85962,0.15243995,716.62018
0.15853751,711.54974,,711.54974,0.15243995,718.3103
0.15975702,713.23993,0.18414722,713.23993,0.15243995,720.00043
,714.93005,0.18780574,714.93005,0.15122044,721.69061
0.16097653,716.62018,0.19024475,716.62018,0.15000093,723.38074
0.16341555,718.3103,0.1939033,718.3103,0.14878142,725.07092
0.16341555,720.00043,0.19634232,720.00043,0.15122044,726.76105
0.16585457,721.69061,0.19756182,721.69061,0.15243995,728.45111
0.16585457,723.38074,,723.38074,0.15487897,730.1413
0.16829357,725.07092,0.20365936,725.07092,0.157318,731.83142
0.16829357,726.76105,0.20243986,726.76105,0.15853751,733.52161
0.16829357,728.45111,0.20487888,728.45111,0.15853751,735.21173
0.16951309,730.1413,0.20487888,730.1413,0.15975702,736.90186
0.16829357,731.83142,0.2073179,731.83142,0.16097653,738.59204
0.17317161,733.52161,0.20609838,733.52161,0.16097653,740.2821
,735.21173,,735.21173,0.16097653,741.97229
0.17317161,736.90186,0.21219593,736.90186,0.16097653,743.66241
0.17317161,738.59204,0.21341544,738.59204,0.16097653,745.35254
0.17439114,740.2821,0.21585447,740.2821,0.16097653,747.04272
0.17683016,741.97229,0.21829349,741.97229,0.16341555,748.73285
0.18048868,743.66241,0.22073251,743.66241,0.16585457,750.42297
0.1829277,745.35254,0.22561054,745.35254,0.16707407,752.1131
0.18414721,747.04272,0.22683007,747.04272,0.16951309,753.80322
0.18414721,748.73285,0.23048858,748.73285,0.17073259,755.49341
0.18536672,750.42297,0.23414713,750.42297,0.17195211,757.18353
0.18536672,752.1131,0.23902516,752.1131,0.17317161,758.87372
0.18902525,753.80322,0.24268369,753.80322,0.17439114,760.56378
0.19024475,755.49341,0.2439032,755.49341,0.17561063,762.25397
,757.18353,0.24634223,757.18353,0.17561063,763.94409
,758.87372,0.25122026,758.87372,0.17804965,765.63422
0.19756182,760.56378,0.25365928,760.56378,0.17804965,767.3244
0.20000084,762.25397,0.25731781,762.25397,0.17926916,769.01453
0.20243986,763.94409,0.26097634,763.94409,0.18048868,770.70471
0.20609838,765.63422,0.26463488,765.63422,0.1829277,772.39478
0.21097642,767.3244,0.26951289,767.3244,0.1829277,774.0849
0.21341544,769.01453,0.27439094,769.01453,0.1829277,775.77509
0.21219593,770.70471,0.2780495,770.70471,0.1829277,777.46521
0.21341544,772.39478,0.281708,772.39478,0.1829277,779.1554
,774.0849,0.28536654,774.0849,0.18536672,780.84552
0.21707398,775.77509,0.28536654,775.77509,0.18536672,782.53558
0.219513,777.46521,0.28536654,777.46521,0.18780574,784.22577
0.219513,779.1554,0.29024458,779.1554,0.19024475,785.91589
0.22195202,780.84552,0.2926836,780.84552,0.19268377,787.60608
0.22195202,782.53558,0.29512262,782.53558,0.19512279,789.2962
0.22439104,784.22577,0.29756165,784.22577,0.19512279,790.98639
0.22561054,785.91589,0.29756165,785.91589,0.19756182,792.67651
0.22683007,787.60608,0.29756165,787.60608,0.20000084,794.36658
0.22926909,789.2962,0.30487868,789.2962,0.20243986,796.05676
0.22683007,790.98639,0.30609822,790.98639,0.20609838,797.74689
0.23414713,792.67651,0.31097627,792.67651,0.2073179,799.43707
0.24146418,794.36658,0.31585428,794.36658,0.21219593,801.1272
0.24268369,796.05676,0.31585428,796.05676,0.21585447,802.81732
0.2439032,797.74689,0.33292744,797.74689,0.21707398,804.50745
0.2439032,799.43707,0.33536643,799.43707,0.219513,806.19757
0.25731781,801.1272,0.34878105,801.1272,0.22195202,807.88776
0.25853732,802.81732,0.3512201,802.81732,0.22439104,809.57788
0.26463488,804.50745,0.3548786,804.50745,0.22439104,811.26801
0.26951289,806.19757,0.35853714,806.19757,0.22683007,812.95819
0.27073243,807.88776,0.36097613,807.88776,0.22804956,814.64825
0.27439094,809.57788,0.36219567,809.57788,0.22926909,816.33844
0.27926898,811.26801,0.36341518,811.26801,0.23170811,818.02856
0.28292751,812.95819,0.37195176,812.95819,0.23414713,819.71869
0.28292751,814.64825,0.37317127,814.64825,0.23658614,821.40887
0.29146409,816.33844,0.37561026,816.33844,0.23658614,823.099
0.29512262,818.02856,0.38536635,818.02856,0.23902516,824.78918
0.29634213,819.71869,0.38414684,819.71869,0.24146418,826.47925
0.30000067,821.40887,0.38658589,821.40887,0.24146418,828.16943
0.30243966,823.099,0.40853706,823.099,0.2439032,829.85956
0.30609822,824.78918,0.42195168,824.78918,0.24756172,831.54968
0.30975673,826.47925,0.42195168,826.47925,0.25243977,833.23987
0.31463477,828.16943,0.47073209,828.16943,0.2560983,834.92999
0.31707379,829.85956,0.47317109,829.85956,0.26219586,836.62012
0.3182933,831.54968,0.50243932,831.54968,0.26585439,838.31024
0.32195184,833.23987,0.50609785,833.23987,0.27073243,840.00037
0.32317135,834.92999,0.51951241,834.92999,0.27439094,841.69055
0.32682988,836.62012,0.55365872,836.62012,0.2780495,843.38068
0.3292689,838.31024,0.55609775,838.31024,0.281708,845.07086
0.33048838,840.00037,0.55731726,840.00037,0.28780556,846.76099
0.33902496,841.69055,0.57073188,841.69055,0.29390311,848.45105
0.34146401,843.38068,0.5731709,843.38068,0.29634213,850.14124
0.34878105,845.07086,0.60243917,845.07086,0.30000067,851.83136
0.35975665,846.76099,0.61463428,846.76099,0.30243966,853.52155
0.36585417,848.45105,0.63170737,848.45105,0.3036592,855.21167
0.37317127,850.14124,0.63170737,850.14124,0.30853724,856.90179
0.37317127,851.83136,0.6353659,851.83136,0.31219575,858.59192
0.38170785,853.52155,0.65365851,853.52155,0.31707379,860.28204
0.38536635,855.21167,0.65487808,855.21167,0.32073236,861.97223
0.38658589,856.90179,0.6682927,856.90179,0.32317135,863.66235
0.39024439,858.59192,0.6682927,858.59192,0.32682988,865.35254
0.39146394,860.28204,0.68048775,860.28204,0.3292689,867.04266
0.40000048,861.97223,0.68292677,861.97223,0.33170792,868.73273
0.4024395,863.66235,0.68780488,863.66235,0.33414695,870.42291
0.40975654,865.35254,0.69756091,865.35254,0.33658597,872.11304
0.41097605,867.04266,0.69878042,867.04266,0.33902496,873.80322
0.41463459,868.73273,0.70609748,868.73273,0.34146401,875.49335
0.43658578,870.42291,0.70609748,870.42291,0.34512252,877.18347
0.44024429,872.11304,0.70975602,872.11304,0.34878105,878.87366
0.45365891,873.80322,0.70975602,873.80322,0.35853714,880.56372
0.49756128,875.49335,0.71219504,875.49335,0.36829323,882.25391
0.50853688,877.18347,0.71219504,877.18347,0.37804931,883.94403
0.51951241,878.87366,0.71463412,878.87366,0.38780537,885.63416
0.53902459,880.56372,0.71463412,880.56372,0.39024439,887.32434
0.55731726,882.25391,0.71463412,882.25391,0.39512244,889.01447
