chroma760em_wl,chroma760em
709.891,0.000982214
713.458,0.000982214
716.538,0.000982214
719.619,0.000982214
722.7,0.000982214
725.456,0.00296008
727.564,0.00444348
730.482,0.00889368
732.752,0.0158162
735.589,0.0212554
737.373,0.0232332
739.319,0.0257056
741.913,0.0316392
743.696,0.0380672
744.75,0.0454842
746.128,0.0529012
747.344,0.063285
747.993,0.0726799
748.885,0.0845471
749.452,0.0974033
749.858,0.107787
750.263,0.120149
750.587,0.129544
750.992,0.1424
751.496,0.161589
752.336,0.182665
752.897,0.211468
753.177,0.229733
754.017,0.261346
754.437,0.290852
754.997,0.314738
755.558,0.336516
755.838,0.358996
756.118,0.377964
756.818,0.395527
756.818,0.410982
757.098,0.43838
757.378,0.451728
757.629,0.470889
758.401,0.504517
759.062,0.535088
759.723,0.565659
759.856,0.599176
760.201,0.621546
760.384,0.646672
760.934,0.678771
761.044,0.710106
761.044,0.730742
761.064,0.752373
761.681,0.778539
761.804,0.800237
762.051,0.821935
762.051,0.846186
762.421,0.871075
762.667,0.894049
762.667,0.919577
762.914,0.942551
763.407,0.963611
763.654,0.983395
764.303,0.989862
764.947,0.993822
766.365,0.991035
767.353,0.989138
769.329,0.992062
770.805,0.996158
773.839,0.996022
775.773,0.993675
778.08,0.991691
783.259,0.991691
789.841,0.991689
795.59,0.991691
799.535,0.994882
804.221,0.994882
808.167,0.994882
811.126,0.992329
813.839,0.9885
818.894,0.9885
822.347,0.985948
826.539,0.985948
831.718,0.984671
836.774,0.984671
840.473,0.986586
842.4,0.988395
846.395,0.988395
849.617,0.986048
855.803,0.986048
859.688,0.988243
870.206,0.991954
885.038,0.991954
896.904,0.988773
911.467,0.988773
924.411,0.988773
936.277,0.991954
942.914,0.991954
952.728,0.991954
962.436,0.991689
975.92,0.986918
985.359,0.988243
996.416,0.990098
1011.25,0.990098
1023.92,0.991954
1033.81,0.991954
1044.49,0.991954
1053.21,0.991954
1059.75,0.990242
1068.68,0.990242
1073.26,0.988776
1079.36,0.986575
1084.16,0.98462
1089.61,0.98242
1095.28,0.98462
1100.72,0.988531
1104.21,0.989754
1107.48,0.989998
1111.62,0.987064
1114.67,0.97973
1117.07,0.974352
1118.38,0.969463
1120.56,0.96384
1122.74,0.95724
1124.7,0.951373
1127.54,0.94575
1128.84,0.943305
1131.02,0.941838
1132.46,0.942478
1133.64,0.94355
1134.73,0.945261
1136.91,0.949172
1139.74,0.952595
1142.14,0.95504
1143.51,0.954448
1145.19,0.951128
1146.5,0.945994
1147.37,0.94301
1148.24,0.939638
1149.11,0.931815
1150,0.92306
1150.86,0.915436
1151.51,0.908102
1152.28,0.900485
1152.72,0.895035
1153.26,0.889767
1153.81,0.883228
1154.32,0.877779
1154.76,0.871421
1155.34,0.864609
1156.02,0.855527
1156.8,0.844174
1157.65,0.832367
1158.54,0.819652
1159.39,0.806937
1160.24,0.796038
1160.99,0.785139
1161.87,0.77424
1162.65,0.763796
1163.43,0.754259
1164.42,0.74109
1165.3,0.731099
1166.22,0.721109
1167.17,0.710664
1167.99,0.702036
1168.91,0.694316
1169.93,0.685687
1171.05,0.678422
1172.04,0.673426
1173.26,0.669793
1174.45,0.669793
1175.74,0.670248
1176.97,0.675697
1177.92,0.681146
1178.77,0.68705
1179.75,0.696586
1180.6,0.706123
1181.42,0.718472
1182.32,0.733269
1183.11,0.748065
1184.01,0.761575
1184.91,0.780232
1185.92,0.797602
1186.93,0.816258
1187.72,0.832341
1188.76,0.840754
1189.63,0.846055
1190.57,0.844729
1191.04,0.841019
1191.75,0.831212
1192.15,0.826176
1192.67,0.814972
1193.23,0.800818
1193.8,0.787308
1194.36,0.773799
1194.81,0.761575
1195.26,0.748065
1195.71,0.731339
1196.38,0.713969
1196.83,0.700459
1197.62,0.686306
1198.41,0.667006
1199.09,0.65221
1199.76,0.6387
1200.77,0.624255
1201.34,0.612323
1202.69,0.600743
1203.92,0.591737
1206.06,0.58466
1208.2,0.585947
1210,0.589163
1212.14,0.594953
1214.5,0.600743
1217.09,0.604603
1219.45,0.60782
1221.25,0.616183
1222.38,0.622616
1223.05,0.634196
1223.95,0.64642
1224.63,0.662503
1225.08,0.674726
1225.42,0.686949
1225.64,0.699816
1225.98,0.710109
1226.43,0.725549
1226.65,0.739702
1226.65,0.752569
1226.88,0.767365
1227.22,0.784735
1227.44,0.800818
1227.67,0.814972
1227.87,0.829091
1228.11,0.837308
1228.34,0.845259
1228.66,0.854536
1228.81,0.862488
1228.97,0.873885
1229.13,0.878656
1229.52,0.885812
1229.92,0.877861
1229.92,0.870439
1229.99,0.859042
1229.99,0.852416
1230.03,0.844565
1230.23,0.839163
1230.23,0.831212
1230.25,0.821405
1230.39,0.811068
1230.37,0.800818
1230.59,0.787952
1230.59,0.773155
1230.7,0.762033
1230.93,0.746779
1231.27,0.721689
1231.38,0.706892
1231.6,0.690166
1231.72,0.672153
1231.94,0.656713
1231.94,0.641273
1232.05,0.620043
1232.17,0.603317
1232.5,0.58659
1232.84,0.56536
