grating1250,grating1250_wl
0.0078136204,402.0975
0.006511535,405.24435
0.0091157053,408.3912
0.014324045,411.53806
0.0182303,414.68491
0.02083447,417.83176
0.02343864,420.97861
0.02604281,424.12546
0.028646979,427.27228
0.032553233,430.41916
0.036459491,433.56601
0.039063662,436.71286
0.04166783,439.85968
0.044271998,443.00653
0.045574084,446.15341
0.048178252,449.30026
0.050782423,452.44708
0.052084509,455.59393
0.054688677,458.74081
0.057292849,461.88766
0.058594938,465.03452
0.05989702,468.18134
0.061199106,471.32819
0.063803278,474.47507
0.063803278,477.62192
0.06640745,480.76874
0.06640745,483.91559
0.06640745,487.06244
0.067709535,490.20932
0.069011614,493.35614
0.069011614,496.50299
0.069011614,499.64984
0.069011614,502.79672
0.069011614,505.94354
0.069011614,509.09042
0.069011614,512.23724
0.069011614,515.38409
0.067709535,518.53094
0.06640745,521.6778
0.06640745,524.82471
0.065105364,527.9715
0.063803278,531.11835
0.063803278,534.2652
0.061199106,537.41205
0.061199106,540.5589
0.058594938,543.70575
0.058594938,546.8526
0.055990763,549.99945
0.054688677,553.1463
0.052084509,556.29315
0.049480338,559.44
0.048178252,562.58685
0.045574084,565.73364
0.042969912,568.88055
0.040365744,572.0274
0.037761576,575.17426
0.035157405,578.32111
0.032553233,581.46796
0.029949063,584.61481
0.028646979,587.76166
0.02604281,590.90851
0.02343864,594.05536
0.022136554,597.20221
0.019532384,600.34906
0.019532384,603.49591
0.016928215,606.6427
0.015626131,609.78961
0.01302196,612.93646
0.011719875,616.08331
0.01041779,619.23016
0.0091157053,622.37695
0.0078136204,625.52386
0.006511535,628.67072
0.006511535,631.81757
0.0052094501,634.96442
0.0039073648,638.11121
0.0026052799,641.25812
0.0026052799,644.40497
0.0026052799,647.55176
0.001303195,650.69867
0.001303195,653.84546
0.0026052799,656.99237
0.0026052799,660.13922
0.0026052799,663.28601
0.0052094501,666.43292
0.0052094501,669.57977
0.006511535,672.72656
0.0091157053,675.87347
0.01041779,679.02026
0.011719875,682.16718
0.014324045,685.31403
0.016928215,688.46082
0.019532384,691.60773
0.02083447,694.75452
0.02343864,697.90143
0.027344894,701.04828
0.031251147,704.19507
0.033855319,707.34198
0.035157405,710.48877
0.039063662,713.63562
0.045574084,716.78253
0.050782423,719.92932
0.054688677,723.07623
0.058594938,726.22302
0.063803278,729.36987
0.069011614,732.51678
0.075522043,735.66357
0.080730379,738.81049
0.085938722,741.95734
0.093751229,745.10413
0.098959573,748.25104
0.10547,751.39783
0.11198042,754.54468
0.11849084,757.69159
0.12500127,760.83838
0.1315117,763.98529
0.1393242,767.13208
0.14713672,770.27893
0.15494923,773.42584
0.16015756,776.57263
0.16927215,779.71948
0.17708467,782.86633
0.18619926,786.01318
0.19531386,789.1601
0.20312637,792.30688
0.20963681,795.45374
0.21744931,798.60059
0.22656389,801.74744
0.23437642,804.89435
0.24349099,808.04114
0.25000143,811.18799
0.25781393,814.33484
0.26432437,817.48169
0.27213687,820.62854
0.27604312,823.77539
0.28385565,826.92224
0.29166815,830.06915
0.29817858,833.21594
0.30729318,836.36279
0.31510568,839.50964
0.32161608,842.65649
0.32812652,845.80334
0.33463696,848.9502
0.34244946,852.09705
0.35026199,855.2439
0.35677239,858.39075
0.36458492,861.5376
0.37369949,864.68445
0.38020992,867.8313
0.38672036,870.97815
0.39583495,874.125
0.40494955,877.27185
0.41276208,880.4187
0.42057458,883.56555
0.42838708,886.7124
0.43619958,889.85925
0.44661626,893.0061
0.45442879,896.15295
0.46224129,899.2998
0.47005379,902.44666
0.47526214,905.59351
0.48698089,908.74036
0.49479339,911.88721
0.50260592,915.03406
0.51172048,918.18091
0.51953304,921.32776
0.52734554,924.47461
0.53385597,927.6214
0.54036641,930.76831
0.54948097,933.91516
0.55599141,937.06201
0.56380391,940.20886
0.56901228,943.35565
0.57682478,946.50256
0.58333516,949.64941
0.58854353,952.7962
0.59635603,955.94312
0.60026228,959.0899
0.60416853,962.23682
0.61067897,965.38367
0.61588728,968.53046
0.61979359,971.67737
0.62369984,974.82422
0.62760609,977.97107
0.63021028,981.11792
0.63281441,984.26471
0.63672066,987.41162
0.64062691,990.55847
0.64323115,993.70526
0.64583528,996.85217
0.64843941,1000
0.65364778,1020
0.65755403,1040
0.66146028,1060
0.66536653,1080
0.6705749,1100
0.67708534,1105.9274
0.68359572,1111.8561
0.69271034,1117.785
0.69922072,1123.7139
0.71093947,1129.6427
0.72005409,1135.5717
0.72916871,1141.5004
0.73567915,1147.4292
0.74479371,1153.3582
0.75130415,1159.287
0.75781459,1165.2158
0.7630229,1171.1447
0.76823127,1177.0735
0.77343965,1183.0023
0.7786479,1188.9313
0.7851584,1194.8601
0.79166877,1200.7888
0.79687715,1206.7178
0.8007834,1212.6466
0.80468965,1218.5754
0.81120002,1224.5044
0.8164084,1230.4331
0.82031465,1236.3619
0.82291883,1242.2909
0.82812715,1248.2197
0.83073133,1254.1486
0.83463758,1260.0774
0.83724177,1266.0062
0.84114802,1271.9351
0.84375221,1277.864
0.84765846,1283.7928
0.85026258,1289.7216
0.85286683,1295.6505
0.85547096,1301.5793
