grating800_Pplane,grating800_Pplane_wl,grating800_Splane,grating800_Splane_wl
0.01793611,352.39093,0.017367173,351.21439
0.13827166,400.36578,0.13736764,400.89639
0.3383562,450.02393,0.33936843,449.78979
0.54598504,502.30957,0.51372522,503.34805
0.68644851,552.58246,0.65712756,551.95752
0.77605456,601.14148,0.74012023,601.23291
0.80608469,651.41431,0.78020513,652.50586
0.79688185,702.25854,0.79601324,696.45416
0.76636744,750.81763,0.79770696,750.39069
0.74796182,801.09045,0.77568853,802.32953
0.69710439,851.36334,0.75762206,850.93903
0.6462028,900.23035,0.69551873,902.87793
0.5977633,950.71869,0.66841912,950.15564
0.55707014,1000.418,0.61252606,1001.4286
0.47665259,1102.1013,0.55550385,1103.3087
0.36716858,1302.0408,0.41939694,1305.363
0.25805604,1499.6786,0.32003438,1499.0114
0.1893453,1702.4789,0.23579217,1700.3038
0.11853654,1902.1877,0.13858968,1893.9521
